timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663313397635,514,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,514,0,0
1663313397855,308,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,307,0,0
1663313394911,3290,GraphQL-findTeacherFeed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,30272,3940,10,10,https://staging.sproutabout.com/service/graphql,3061,0,0
1663313397891,335,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,335,0,0
1663313398008,332,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,332,0,0
1663313398089,320,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,320,0,0
1663313398188,303,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,303,0,0
1663313398185,321,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,321,0,0
1663313398202,310,ReadNotes,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,1104,1876,10,10,https://staging.sproutabout.com/service/graphql,310,0,0
1663313398172,349,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,349,0,0
1663313398247,314,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,314,0,0
1663313398190,383,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,383,0,0
1663313397563,1057,GraphQL-findTeacherFeed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-7",text,true,,30468,3940,10,10,https://staging.sproutabout.com/service/graphql,831,0,0
1663313398325,340,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,340,0,0
1663313398362,335,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,335,0,0
1663313398513,290,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,958,1885,10,10,https://staging.sproutabout.com/service/graphql,290,0,0
1663313398498,312,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1335,2648,10,10,https://staging.sproutabout.com/service/graphql,312,0,0
1663313398511,347,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,347,0,0
1663313398545,315,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,1334,2648,10,10,https://staging.sproutabout.com/service/graphql,315,0,0
